date,area,marketId,location,sourceType,commodityKey,commodity,brand,productName,size,unit,price,priceType,stockStatus,confidence,observedAt,address,sourceUrl
2026-09-26,gresik,45,Pasar Baru,pasar rakyat,ayam,Daging ayam ras,Komoditas pasar,Daging ayam ras,1 kg,kg,40000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Baru, Kabupaten Gresik",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=gresikkab&pasar=45
2026-09-26,gresik,46,Pasar Kota,pasar rakyat,ayam,Daging ayam ras,Komoditas pasar,Daging ayam ras,1 kg,kg,42000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Kota, Kabupaten Gresik",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=gresikkab&pasar=46
2026-09-26,gresik,123,Pasar Sidomoro,pasar rakyat,ayam,Daging ayam ras,Komoditas pasar,Daging ayam ras,1 kg,kg,40000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Sidomoro, Kabupaten Gresik",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=gresikkab&pasar=123
2026-09-26,gresik,45,Pasar Baru,pasar rakyat,bawang-merah,Bawang merah,Komoditas pasar,Bawang merah,1 kg,kg,28000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Baru, Kabupaten Gresik",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=gresikkab&pasar=45
2026-09-26,gresik,46,Pasar Kota,pasar rakyat,bawang-merah,Bawang merah,Komoditas pasar,Bawang merah,1 kg,kg,30000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Kota, Kabupaten Gresik",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=gresikkab&pasar=46
2026-09-26,gresik,123,Pasar Sidomoro,pasar rakyat,bawang-merah,Bawang merah,Komoditas pasar,Bawang merah,1 kg,kg,30000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Sidomoro, Kabupaten Gresik",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=gresikkab&pasar=123
2026-09-26,gresik,45,Pasar Baru,pasar rakyat,bawang-putih,Bawang putih,Komoditas pasar,Bawang putih,1 kg,kg,30000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Baru, Kabupaten Gresik",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=gresikkab&pasar=45
2026-09-26,gresik,46,Pasar Kota,pasar rakyat,bawang-putih,Bawang putih,Komoditas pasar,Bawang putih,1 kg,kg,36000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Kota, Kabupaten Gresik",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=gresikkab&pasar=46
2026-09-26,gresik,123,Pasar Sidomoro,pasar rakyat,bawang-putih,Bawang putih,Komoditas pasar,Bawang putih,1 kg,kg,30000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Sidomoro, Kabupaten Gresik",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=gresikkab&pasar=123
2026-09-26,gresik,45,Pasar Baru,pasar rakyat,beras-medium,Beras medium,Komoditas pasar,Beras medium,1 kg,kg,12500,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Baru, Kabupaten Gresik",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=gresikkab&pasar=45
2026-09-26,gresik,46,Pasar Kota,pasar rakyat,beras-medium,Beras medium,Komoditas pasar,Beras medium,1 kg,kg,12800,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Kota, Kabupaten Gresik",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=gresikkab&pasar=46
2026-09-26,gresik,123,Pasar Sidomoro,pasar rakyat,beras-medium,Beras medium,Komoditas pasar,Beras medium,1 kg,kg,12500,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Sidomoro, Kabupaten Gresik",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=gresikkab&pasar=123
2026-09-26,gresik,45,Pasar Baru,pasar rakyat,beras-premium,Beras premium,Komoditas pasar,Beras premium,1 kg,kg,15500,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Baru, Kabupaten Gresik",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=gresikkab&pasar=45
2026-09-26,gresik,46,Pasar Kota,pasar rakyat,beras-premium,Beras premium,Komoditas pasar,Beras premium,1 kg,kg,15000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Kota, Kabupaten Gresik",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=gresikkab&pasar=46
2026-09-26,gresik,123,Pasar Sidomoro,pasar rakyat,beras-premium,Beras premium,Komoditas pasar,Beras premium,1 kg,kg,15200,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Sidomoro, Kabupaten Gresik",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=gresikkab&pasar=123
2026-09-26,gresik,45,Pasar Baru,pasar rakyat,cabai-besar,Cabai merah besar,Komoditas pasar,Cabai merah besar,1 kg,kg,20000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Baru, Kabupaten Gresik",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=gresikkab&pasar=45
2026-09-26,gresik,46,Pasar Kota,pasar rakyat,cabai-besar,Cabai merah besar,Komoditas pasar,Cabai merah besar,1 kg,kg,25000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Kota, Kabupaten Gresik",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=gresikkab&pasar=46
2026-09-26,gresik,123,Pasar Sidomoro,pasar rakyat,cabai-besar,Cabai merah besar,Komoditas pasar,Cabai merah besar,1 kg,kg,28000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Sidomoro, Kabupaten Gresik",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=gresikkab&pasar=123
